Date;Time;DoW;Detector;Direction;Detected
14-11-2007;07:15:00;Wed;D15;S;276
14-11-2007;07:15:00;Wed;D18;N;417
14-11-2007;07:30:00;Wed;D3;S;366
14-11-2007;07:30:00;Wed;D4;S;519
14-11-2007;07:30:00;Wed;D13;N;459
14-11-2007;07:30:00;Wed;D14;N;460
14-11-2007;07:30:00;Wed;D5;N;608
14-11-2007;07:30:00;Wed;D6;S;530
14-11-2007;07:30:00;Wed;D7;N;548
14-11-2007;07:30:00;Wed;D8;S;526
14-11-2007;07:30:00;Wed;D15;S;417
14-11-2007;07:30:00;Wed;D18;N;551
14-11-2007;07:45:00;Wed;D3;S;339
14-11-2007;07:45:00;Wed;D4;S;505
14-11-2007;07:45:00;Wed;D13;N;419
14-11-2007;07:45:00;Wed;D14;N;433
14-11-2007;07:45:00;Wed;D5;N;577
14-11-2007;07:45:00;Wed;D6;S;508
14-11-2007;07:45:00;Wed;D7;N;533
14-11-2007;07:45:00;Wed;D8;S;530
14-11-2007;07:45:00;Wed;D15;S;444
14-11-2007;07:45:00;Wed;D18;N;536
14-11-2007;08:00:00;Wed;D3;S;392
14-11-2007;08:00:00;Wed;D4;S;601
14-11-2007;08:00:00;Wed;D13;N;485
14-11-2007;08:00:00;Wed;D14;N;498
14-11-2007;08:00:00;Wed;D5;N;549
14-11-2007;08:00:00;Wed;D6;S;564
14-11-2007;08:00:00;Wed;D7;N;524
14-11-2007;08:00:00;Wed;D8;S;552
14-11-2007;08:00:00;Wed;D15;S;415
14-11-2007;08:00:00;Wed;D18;N;510
14-11-2007;08:15:00;Wed;D3;S;383
14-11-2007;08:15:00;Wed;D4;S;631
14-11-2007;08:15:00;Wed;D13;N;546
14-11-2007;08:15:00;Wed;D14;N;511
14-11-2007;08:15:00;Wed;D5;N;606
14-11-2007;08:15:00;Wed;D6;S;591
14-11-2007;08:15:00;Wed;D7;N;547
14-11-2007;08:15:00;Wed;D8;S;592
14-11-2007;08:15:00;Wed;D15;S;435
14-11-2007;08:15:00;Wed;D18;N;587
14-11-2007;08:30:00;Wed;D3;S;328
14-11-2007;08:30:00;Wed;D4;S;554
14-11-2007;08:30:00;Wed;D13;N;459
14-11-2007;08:30:00;Wed;D14;N;464
14-11-2007;08:30:00;Wed;D5;N;542
14-11-2007;08:30:00;Wed;D6;S;537
14-11-2007;08:30:00;Wed;D7;N;478
14-11-2007;08:30:00;Wed;D8;S;550
14-11-2007;08:30:00;Wed;D15;S;445
14-11-2007;08:30:00;Wed;D18;N;530
14-11-2007;08:45:00;Wed;D3;S;322
14-11-2007;08:45:00;Wed;D4;S;591
14-11-2007;08:45:00;Wed;D13;N;425
14-11-2007;08:45:00;Wed;D14;N;466
